id,name,c1,count,recipes,Ing,Cat,top_ing
40,Austria,1,24,21,47,11,
50,Bangladesh,1,33,4,22,7,
56,Belgium,1,31,11,44,13,
124,Canada,1,6,774,247,14,
156,China,1,8,442,188,13,
250,France,1,4,1264,271,14,
276,Germany,1,11,289,155,13,
300,Greece,1,13,225,152,14,
356,India,1,7,598,205,14,
360,Indonesia,1,30,12,56,13,
364,Iran,1,25,21,54,11,
372,Ireland,1,18,86,131,13,
376,Israel,1,32,9,40,10,
380,Italy,1,2,3250,276,14,
392,Japan,1,9,320,180,13,
422,Lebanon,1,23,31,71,13,
458,Malaysia,1,28,18,71,12,
484,Mexico,1,3,2390,251,14,
504,Morocco,1,15,137,147,14,
528,Netherlands,1,22,32,61,11,
586,Pakistan,1,27,19,51,11,
608,Philippines,1,21,43,77,14,
620,Portugal,1,20,50,81,13,
643,Russia,1,14,146,167,14,
410,South Korea,1,5,799,153,14,
724,Spain,1,19,75,129,13,
756,Switzerland,1,26,20,53,12,
764,Thailand,1,10,289,161,13,
792,Turkey,1,29,16,39,11,
826,UK,1,12,282,165,14,
840,USA,1,1,40150,354,14,
704,Vietnam,1,17,95,110,13,
31,Azerbaijan,-1,,,,,
4,Afghanistan,-1,,,,,
8,Albania,-1,,,,,
12,Algeria,-1,,,,,
24,Angola,-1,,,,,
10,Antarctica,-1,,,,,
32,Argentina,-1,,,,,
51,Armenia,-1,,,,,
36,Australia,-1,,,,,
44,Bahamas,-1,,,,,
50,Bangladesh,-1,,,,,
112,Belarus,-1,,,,,
84,Belize,-1,,,,,
204,Benin,-1,,,,,
64,Bhutan,-1,,,,,
68,Bolivia,-1,,,,,
70,Bosnia and Herzegovina,-1,,,,,
72,Botswana,-1,,,,,
76,Brazil,-1,,,,,
96,Brunei Darussalam,-1,,,,,
100,Bulgaria,-1,,,,,
854,Burkina Faso,-1,,,,,
108,Burundi,-1,,,,,
116,Cambodia,-1,,,,,
120,Cameroon,-1,,,,,
140,Central African Republic,-1,,,,,
148,Chad,-1,,,,,
152,Chile,-1,,,,,
170,Colombia,-1,,,,,
178,Congo,-1,,,,,
180,Congo,-1,,,,,
188,Costa Rica,-1,,,,,
384,Cote d'Ivoire,-1,,,,,
191,Croatia,-1,,,,,
192,Cuba,-1,,,,,
196,Cyprus,-1,,,,,
203,Czech Republic,-1,,,,,
208,Denmark,-1,,,,,
262,Djibouti,-1,,,,,
214,Dominican Republic,-1,,,,,
218,Ecuador,-1,,,,,
818,Egypt,-1,,,,,
222,El Salvador,-1,,,,,
226,Equatorial Guinea,-1,,,,,
232,Eritrea,-1,,,,,
233,Estonia,-1,,,,,
231,Ethiopia,-1,,,,,
238,Falkland Islands (Malvinas),-1,,,,,
242,Fiji,-1,,,,,
246,Finland,-1,,,,,
260,French Southern Territories,-1,,,,,
266,Gabon,-1,,,,,
270,Gambia,-1,,,,,
268,Georgia,-1,,,,,
288,Ghana,-1,,,,,
304,Greenland,-1,,,,,
320,Guatemala,-1,,,,,
324,Guinea,-1,,,,,
624,Guinea-Bissau,-1,,,,,
328,Guyana,-1,,,,,
332,Haiti,-1,,,,,
340,Honduras,-1,,,,,
348,Hungary,-1,,,,,
352,Iceland,-1,,,,,
368,Iraq,-1,,,,,
388,Jamaica,-1,,,,,
400,Jordan,-1,,,,,
398,Kazakhstan,-1,,,,,
404,Kenya,-1,,,,,
408,North Korea,-1,,,,,
414,Kuwait,-1,,,,,
417,Kyrgyzstan,-1,,,,,
418,Lao People's Democratic Republic,-1,,,,,
428,Latvia,-1,,,,,
426,Lesotho,-1,,,,,
430,Liberia,-1,,,,,
434,Libya,-1,,,,,
440,Lithuania,-1,,,,,
442,Luxembourg,-1,,,,,
807,Macedonia,-1,,,,,
450,Madagascar,-1,,,,,
454,Malawi,-1,,,,,
466,Mali,-1,,,,,
478,Mauritania,-1,,,,,
498,Moldova,-1,,,,,
496,Mongolia,-1,,,,,
499,Montenegro,-1,,,,,
508,Mozambique,-1,,,,,
104,Myanmar,-1,,,,,
516,Namibia,-1,,,,,
524,Nepal,-1,,,,,
540,New Caledonia,-1,,,,,
554,New Zealand,-1,,,,,
558,Nicaragua,-1,,,,,
562,Niger,-1,,,,,
566,Nigeria,-1,,,,,
578,Norway,-1,,,,,
512,Oman,-1,,,,,
275,Palestinian Territory,-1,,,,,
591,Panama,-1,,,,,
598,Papua New Guinea,-1,,,,,
600,Paraguay,-1,,,,,
604,Peru,-1,,,,,
616,Poland,-1,,,,,
630,Puerto Rico,-1,,,,,
634,Qatar,-1,,,,,
642,Romania,-1,,,,,
646,Rwanda,-1,,,,,
682,Saudi Arabia,-1,,,,,
686,Senegal,-1,,,,,
688,Serbia,-1,,,,,
694,Sierra Leone,-1,,,,,
703,Slovakia,-1,,,,,
705,Slovenia,-1,,,,,
90,Solomon Islands,-1,,,,,
706,Somalia,-1,,,,,
710,South Africa,-1,,,,,
728,South Sudan,-1,,,,,
144,Sri Lanka,-1,,,,,
729,Sudan,-1,,,,,
740,Suriname,-1,,,,,
748,Swaziland,-1,,,,,
752,Sweden,-1,,,,,
760,Syrian Arab Republic,-1,,,,,
158,Taiwan,-1,,,,,
762,Tajikistan,-1,,,,,
834,Tanzania,-1,,,,,
626,Timor-Leste,-1,,,,,
768,Togo,-1,,,,,
780,Trinad and Tobago,-1,,,,,
788,Tunisia,-1,,,,,
795,Turkmenistan,-1,,,,,
800,Uganda,-1,,,,,
804,Ukraine,-1,,,,,
784,United Arab Emirates,-1,,,,,
858,Uruguay,-1,,,,,
860,Uzbekistan,-1,,,,,
548,Vanuatu,-1,,,,,
862,Venezuela,-1,,,,,
732,Western Sahara,-1,,,,,
887,Yemen,-1,,,,,
894,Zambia,-1,,,,,
716,Zimbabwe,-1,,,,,
